Age,Income,Credit_Score,Insurance
62,62128,705,1
56,58285,659,1
50,89936,822,1
59,60076,714,1
61,59629,732,1
44,82871,728,1
49,103580,820,1
59,110503,693,1
54,76159,687,1
64,100494,825,1
55,75409,746,1
44,71742,760,1
47,102306,752,1
58,63825,810,1
54,103245,792,1
59,58341,710,1
60,64282,842,1
42,71636,793,1
54,63140,820,1
66,64605,804,1
53,75554,689,1
47,102163,750,1
57,102381,825,1
54,114027,703,1
62,63704,841,1
53,78387,665,1
63,60283,754,1
47,48106,745,1
49,113370,691,1
63,103172,839,1
58,59712,761,1
52,67499,831,1
55,75508,745,1
40,69754,815,1
58,44367,708,1
53,74984,726,1
46,46997,730,1
54,56701,663,1
55,76676,686,1
52,79122,656,1
45,90688,831,1
60,43947,705,1
56,51783,776,1
60,59812,705,1
54,45494,742,1
55,113176,708,1
59,60097,713,1
59,111727,750,1
47,86083,727,1
61,111794,739,1
63,81802,659,1
57,48190,747,1
60,60412,687,1
43,114150,681,1
63,100258,792,1
63,109114,712,1
60,111019,774,1
44,73230,761,1
50,100938,703,1
59,60084,714,1
52,57244,701,1
47,101429,749,1
44,68626,687,1
50,75374,728,1
62,60522,732,1
48,101150,722,1
53,45486,682,1
51,104842,829,1
52,86019,766,1
49,103759,815,1
69,63867,847,1
61,47601,742,1
51,100983,706,1
56,45103,719,1
64,61199,760,1
52,103275,783,1
45,88887,735,1
59,88043,772,1
51,101925,810,1
55,113462,735,1
55,112600,708,1
53,45492,683,1
43,83962,751,1
52,79399,684,1
53,90607,759,1
57,44471,709,1
59,110690,680,1
60,112192,734,1
52,82435,700,1
61,111772,740,1
55,90057,766,1
56,47082,735,1
53,75876,721,1
49,103181,770,1
56,103470,830,1
41,69393,764,1
45,113903,679,1
65,64827,848,1
59,60762,669,1
42,72823,743,1
47,113788,706,1
55,89812,755,1
56,44662,711,1
58,80594,657,1
63,81697,659,1
62,109697,777,1
68,100146,827,1
58,52818,784,1
54,63325,829,1
52,74980,748,1
61,59687,716,1
61,103146,822,1
53,113159,749,1
56,44767,712,1
54,63371,826,1
56,47081,735,1
49,103277,767,1
62,60907,767,1
51,75604,725,1
54,113114,749,1
61,59375,741,1
55,112336,717,1
53,45372,718,1
42,89245,736,1
66,64656,813,1
60,60422,692,1
49,101633,779,1
49,48904,753,1
49,102939,778,1
68,64343,847,1
63,102857,828,1
57,45020,729,1
55,112815,750,1
54,79309,790,1
48,46546,716,1
47,101242,729,1
40,69687,806,1
62,81180,666,1
51,101549,778,1
52,78551,672,1
56,77290,682,1
66,102965,841,1
48,92373,842,1
57,113464,722,1
63,108552,653,1
57,60006,677,1
55,57292,671,1
54,75335,746,1
51,58494,764,1
64,62264,762,1
57,111665,693,1
65,63771,843,1
62,103132,827,1
56,75619,740,1
51,101523,775,1
56,62123,757,1
52,58601,762,1
52,74649,714,1
42,89101,726,1
54,75185,750,1
46,73948,763,1
55,90665,793,1
60,43764,703,1
56,76024,720,1
60,110335,784,1
49,103619,799,1
49,101285,709,1
60,65458,744,1
61,65702,813,1
44,74035,742,1
61,107747,693,1
51,100794,704,1
42,84067,739,1
63,64565,845,1
60,111486,737,1
52,91375,779,1
55,88738,715,1
41,83547,742,1
57,59918,718,1
50,49148,756,1
56,104364,834,1
48,74794,736,1
51,114085,697,1
60,59729,728,1
43,70665,714,1
53,45530,684,1
69,64038,847,1
44,90799,769,1
61,81348,659,1
53,50553,767,1
51,58490,764,1
62,81518,682,1
54,112923,729,1
57,45014,744,1
51,58283,754,1
56,112257,720,1
57,103215,801,1
44,89028,723,1
48,92851,842,1
44,88897,734,1
54,113336,741,1
63,109130,675,1
62,60311,759,1
64,61151,770,1
54,56373,665,1
65,46951,735,1
40,69496,779,1
64,103106,835,1
59,60374,672,1
46,90946,842,1
53,91959,829,1
62,62585,718,1
62,59792,745,1
59,55848,787,1
56,76363,702,1
59,44169,697,1
61,111434,750,1
50,74306,701,1
45,113989,692,1
58,80774,740,1
57,59599,761,1
58,104112,836,1
55,90856,818,1
58,44657,736,1
54,45267,683,1
59,60376,673,1
67,101415,835,1
60,46287,710,1
63,81778,662,1
59,82078,677,1
60,44080,715,1
69,63901,839,1
46,47038,734,1
63,109022,670,1
59,61945,794,1
61,109898,798,1
64,62104,761,1
50,102436,794,1
45,90408,813,1
53,79571,720,1
56,62863,817,1
45,113789,682,1
46,89891,760,1
59,47073,736,1
55,58878,754,1
50,101278,747,1
41,73419,754,1
66,100302,827,1
52,45546,719,1
56,45060,724,1
55,45075,715,1
65,47108,737,1
49,102922,779,1
55,59210,762,1
58,112968,733,1
61,110047,796,1
54,112731,741,1
59,58608,717,1
62,103559,839,1
56,113767,711,1
40,70156,811,1
52,92393,832,1
60,43804,703,1
61,60368,734,1
60,53461,789,1
54,77574,675,1
62,110142,788,1
49,74095,699,1
66,64403,772,1
45,73777,726,1
54,45223,683,1
61,59355,742,1
51,58132,746,1
51,75234,712,1
53,59087,730,1
63,108490,657,1
61,59580,734,1
47,101971,747,1
48,92879,821,1
46,90868,841,1
50,67503,735,1
52,79292,662,1
55,63161,825,1
53,91166,815,1
66,64668,815,1
66,64561,797,1
54,47079,736,1
58,112741,737,1
65,64312,770,1
64,60758,763,1
59,44460,729,1
54,75218,734,1
53,75690,689,1
62,109252,728,1
56,106196,770,1
52,92678,834,1
52,57667,722,1
56,90658,816,1
47,102313,752,1
55,91301,821,1
53,58836,764,1
47,73922,727,1
56,101353,817,1
62,110552,769,1
64,62085,790,1
54,77917,671,1
55,62301,766,1
47,82692,717,1
42,70997,714,1
52,47794,743,1
53,88824,712,1
60,81012,722,1
45,73798,766,1
53,75989,716,1
62,54638,795,1
63,100662,824,1
52,78127,677,1
51,46095,739,1
65,62501,762,1
55,76475,686,1
59,111672,732,1
48,73979,708,1
54,112867,724,1
56,88614,725,1
52,87883,716,1
55,45277,743,1
50,49398,758,1
48,101058,714,1
43,83865,750,1
67,64496,848,1
58,44587,733,1
60,65785,809,1
58,78804,691,1
48,101126,720,1
60,59788,725,1
51,89634,764,1
63,81635,661,1
49,112570,721,1
59,60233,690,1
61,100354,776,1
54,104585,833,1
44,73700,733,1
51,101852,812,1
53,75760,728,1
53,90553,758,1
55,113158,708,1
62,62490,715,1
56,45255,743,1
58,88141,764,1
